id,cohort,freq,level,mag,phase
WT-1,WT (mixed C57BL/6:FVB),6,50,10.0380037972449,-13.42084977871596
WT-1,WT (mixed C57BL/6:FVB),6,60,24.2596861484594,-13.811276101398784
WT-1,WT (mixed C57BL/6:FVB),6,70,66.521194172631,-16.105610274586127
WT-1,WT (mixed C57BL/6:FVB),6,80,184.455644115499,-15.743055556192568
WT-1,WT (mixed C57BL/6:FVB),6.5,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),6.5,20,0.81665070950621,-11.973939290155876
WT-1,WT (mixed C57BL/6:FVB),6.5,30,1.18260720015163,-14.859972735320216
WT-1,WT (mixed C57BL/6:FVB),6.5,40,4.10489978855488,-16.116064136024093
WT-1,WT (mixed C57BL/6:FVB),6.5,50,11.8259590705576,-16.433770367901253
WT-1,WT (mixed C57BL/6:FVB),6.5,60,25.5072250628659,-16.983797181549637
WT-1,WT (mixed C57BL/6:FVB),6.5,70,57.9640028935834,-16.96751088378694
WT-1,WT (mixed C57BL/6:FVB),6.5,80,146.307728360316,-17.90368029481205
WT-1,WT (mixed C57BL/6:FVB),7,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),7,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),7,30,1.5318579512596,-18.14600521845894
WT-1,WT (mixed C57BL/6:FVB),7,40,4.42329183947382,-18.209133566254305
WT-1,WT (mixed C57BL/6:FVB),7,50,10.4052378601921,-17.22445751060982
WT-1,WT (mixed C57BL/6:FVB),7,60,23.1109285093956,-17.671367824930098
WT-1,WT (mixed C57BL/6:FVB),7,70,44.7320788767156,-18.93053155042471
WT-1,WT (mixed C57BL/6:FVB),7,80,101.531126382793,-19.970079611741262
WT-1,WT (mixed C57BL/6:FVB),7.5,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),7.5,20,NA,NA
WT-1,WT (mixed C57BL/6:FVB),7.5,30,1.72303432414043,-20.022786828404957
WT-1,WT (mixed C57BL/6:FVB),7.5,40,4.45606542815444,-18.83070123814955
WT-1,WT (mixed C57BL/6:FVB),7.5,50,10.7298082041388,-19.028624347135622
WT-1,WT (mixed C57BL/6:FVB),7.5,60,22.4788784485513,-19.488972610782213
WT-1,WT (mixed C57BL/6:FVB),7.5,70,36.2750009873858,-20.6179697687233
WT-1,WT (mixed C57BL/6:FVB),7.5,80,74.7221143877869,-22.00407576033691
WT-1,WT (mixed C57BL/6:FVB),8,10,NA,NA
WT-1,WT (mixed C57BL/6:FVB),8,20,1.07419799882318,-21.297668859307333
WT-1,WT (mixed C57BL/6:FVB),8,30,2.17514027655571,-20.44867825876046
WT-1,WT (mixed C57BL/6:FVB),8,40,5.25633758828054,-20.656388068841657
WT-1,WT (mixed C57BL/6:FVB),8,50,10.1481234419946,-20.999857227498183
WT-1,WT (mixed C57BL/6:FVB),8,60,18.6352074938831,-21.336098330066704
WT-1,WT (mixed C57BL/6:FVB),8,70,29.5750219843042,-22.4575817371274
WT-1,WT (mixed C57BL/6:FVB),8,80,48.7822940691134,-23.900399888195363
WT-1,WT (mixed C57BL/6:FVB),8.5,10,0.780852302550062,-21.30518141599286
WT-1,WT (mixed C57BL/6:FVB),8.5,20,1.46537907579816,-22.524696088133044
WT-1,WT (mixed C57BL/6:FVB),8.5,30,2.533128998512,-22.724091764594863
WT-1,WT (mixed C57BL/6:FVB),8.5,40,5.47059668913184,-22.688105194862494
WT-1,WT (mixed C57BL/6:FVB),8.5,50,10.157384664719,-22.916922116614632
WT-1,WT (mixed C57BL/6:FVB),8.5,60,15.8769721096389,-23.17043407623724
